Name,Position,Current Club,Country,Matches Played,Minutes Played,Goals,Assist,Height,Weight,Preferred Foot,League Trophies,Champions League Trophy,Cup Trophy,International Cup Trophy,Individual Award,Seasons Played,World CupTrophy
Andrea Pirlo,Midfielder,Retired,Italy,176,14771,20,37,177,68,Right,5,0,4,1,3,5,No
N'Golo Kante,Midfielder,Chelsea,France,276,23056,16,18,169,68,Right,2,0,2,1,3,8,Yes
Philipp Lahm,Defender,Retired,Germany,282,24177,9,34,170,64,Right,5,1,8,1,2,7,Yes
David Silva,Midfielder,Manchester City,Spain,389,29873,71,106,170,67,Left,4,0,8,2,0,10,Yes
Xavi,Midfielder,Retired,Spain,208,14649,28,47,170,68,Right,3,2,7,2,0,5,Yes
Lionel Messi,Attacker,Barcelona,Argentina,456,38569,461,178,170,72,Left,6,2,20,0,48,10,No
Andres Iniesta,Midfielder,Vissel Kobe,Spain,329,23709,28,65,171,70,Right,5,2,13,2,2,8,Yes
Sergio Aguero,Attacker,Manchester City,Argentina,379,28082,256,64,172,69,Right,4,0,9,0,2,10,No
Dani Alves,Defender,Sao Paulo,Brazil,363,29375,26,77,172,70,Right,7,2,15,2,0,9,No
Eden Hazard,Attacker,Real Madrid,Belgium,422,32857,134,99,173,75,Both,3,0,5,0,0,10,No
Luka Modric,Midfielder,Real Madrid,Croatia,378,29280,30,48,174,65,Right,1,4,10,0,8,10,No
Neymar,Attacker,PSG,Brazil,251,21061,164,93,174,68,Right,4,1,10,1,5,7,No
Mohamed Salah,Attacker,Liverpool,Egypt,320,23674,142,66,175,71,Left,2,1,5,0,10,8,No
Marcelo,Defender,Real Madrid,Brazil,354,28877,28,66,175,73,Left,2,4,11,1,0,10,No
Wayne Rooney,Attacker,Derby County,England,303,24054,124,72,176,83,Right,2,0,8,0,0,9,No
Kylian Mbappe,Attacker,PSG,France,163,11184,104,51,178,73,Right,3,0,4,1,6,5,Yes
Arjen Robben,Attacker,Bayern Munich,Netherlands,253,17710,107,64,180,80,Left,7,1,12,0,2,9,No
Toni Kroos,Midfielder,Real Madrid,Germany,399,31876,36,82,182,78,Right,3,4,16,1,2,10,Yes
Luis Suarez,Attacker,Barcelona,Uruaguay,384,32695,257,114,182,85,Right,5,1,9,1,10,10,No
Sergio Ramos,Defender,Real Madrid,Spain,380,33242,57,19,183,75,Right,2,4,12,2,0,10,Yes
Gareth Bale,Attacker,Real Madrid,Wales,349,26710,142,83,185,74,Left,1,4,9,0,8,10,No
Robert Lewandowski,Attacker,Bayern Munich,Poland,432,34860,313,63,185,79,Right,7,0,7,0,33,10,No
Cristiano Ronaldo,Attacker,Juventus,Portugal,430,37189,431,120,187,83,Right,2,4,12,2,37,10,No
Giorgio Chiellini,Defender,Juventus,Italy,329,28061,18,13,187,86,Both,8,0,8,0,0,10,No
Harry Kane,Attacker,Tothernam,England,327,24184,192,27,188,73,Right,0,0,0,0,3,10,No
Sergio Busquets,Midfielder,Barcelona,Spain,432,34863,8,24,189,73,Right,5,2,15,2,0,10,Yes
Gerard Pique,Defender,Barcelona,Spain,373,31716,38,6,191,85,Right,6,2,14,2,0,10,Yes
Virgil Van Djik,Defender,Liverpool,Netherlands,328,28836,31,14,193,87,Right,3,1,3,0,3,10,No
Vincent Konmpany,Defender,Anderlecht,Belgium,272,22565,17,5,193,92,Right,4,0,8,0,0,10,No
Zlatan Ibrahimovic,Attacker,AC Milan,Sweden,355,29694,278,93,195,95,Both,5,0,15,0,22,8,No